iter	Passed	Remaining
669	1693	834
670	1696	831
671	1698	828
672	1700	826
673	1702	823
674	1705	821
675	1707	818
676	1709	815
677	1711	813
678	1714	810
679	1719	808
680	1722	806
681	1724	804
682	1726	801
683	1728	798
684	1731	796
685	1733	793
686	1735	790
687	1738	788
688	1741	786
689	1743	783
690	1746	780
691	1748	778
692	1750	775
693	1752	772
694	1754	770
695	1757	767
696	1759	764
697	1762	762
698	1764	759
699	1767	757
700	1769	754
701	1771	752
702	1773	749
703	1776	746
704	1778	744
705	1780	741
706	1782	738
707	1785	736
708	1788	734
709	1790	731
710	1793	728
711	1795	726
712	1797	723
713	1799	720
714	1802	718
715	1804	715
716	1806	713
717	1809	710
718	1812	708
719	1815	705
720	1817	703
721	1819	700
722	1821	698
723	1824	695
724	1826	692
725	1829	690
726	1831	687
727	1834	685
728	1837	682
729	1839	680
730	1841	677
731	1843	675
732	1846	672
733	1848	669
734	1850	667
735	1852	664
736	1855	662
737	1858	659
738	1861	657
739	1863	654
740	1865	652
741	1867	649
742	1870	646
743	1872	644
744	1874	641
745	1877	639
746	1879	636
747	1882	634
748	1885	631
749	1887	629
750	1889	626
751	1891	623
752	1894	621
753	1896	618
754	1898	616
755	1901	613
756	1903	610
757	1906	608
758	1909	606
759	1911	603
760	1913	601
761	1916	598
762	1918	595
763	1920	593
764	1923	590
765	1925	588
766	1927	585
767	1930	583
768	1934	581
769	1936	578
770	1939	576
771	1941	573
772	1944	570
773	1946	568
774	1949	565
775	1951	563
776	1954	560
777	1956	558
778	1959	555
779	1961	553
780	1963	550
781	1966	548
782	1968	545
783	1971	543
784	1973	540
785	1975	537
786	1978	535
787	1981	532
788	1983	530
789	1985	527
790	1987	525
791	1990	522
792	1992	520
793	1994	517
794	1997	515
795	1999	512
796	2002	510
797	2005	507
798	2007	504
799	2009	502
800	2011	499
801	2014	497
802	2017	494
803	2019	492
804	2021	489
805	2023	487
806	2026	484
807	2030	482
808	2032	479
809	2035	477
810	2037	474
811	2039	472
812	2041	469
813	2044	467
814	2046	464
815	2049	462
816	2052	459
817	2054	457
818	2056	454
819	2058	451
820	2061	449
821	2063	446
822	2065	444
823	2068	441
824	2070	439
825	2073	436
826	2075	434
827	2078	431
828	2080	429
829	2082	426
830	2085	424
831	2087	421
832	2089	418
833	2091	416
834	2094	413
835	2096	411
836	2099	408
837	2102	406
838	2104	403
839	2106	401
840	2108	398
841	2110	396
842	2114	393
843	2117	391
844	2119	388
845	2123	386
846	2125	383
847	2127	381
848	2129	378
849	2132	376
850	2134	373
851	2136	371
852	2138	368
853	2141	366
854	2143	363
855	2146	361
856	2150	358
857	2152	356
858	2155	353
859	2157	351
860	2159	348
861	2161	346
862	2163	343
863	2166	340
864	2168	338
865	2171	336
866	2173	333
867	2176	330
868	2178	328
869	2180	325
870	2182	323
871	2185	320
872	2187	318
873	2189	315
874	2192	313
875	2195	310
876	2197	308
877	2199	305
878	2201	303
879	2203	300
880	2206	298
881	2208	295
882	2210	292
883	2212	290
884	2215	287
885	2218	285
886	2221	282
887	2223	280
888	2225	277
889	2227	275
890	2230	272
891	2232	270
892	2235	267
893	2237	265
894	2239	262
895	2242	260
896	2246	257
897	2248	255
898	2251	252
899	2253	250
900	2255	247
901	2257	245
902	2260	242
903	2262	240
904	2265	237
905	2268	235
906	2270	232
907	2272	230
908	2274	227
909	2277	225
910	2279	222
911	2282	220
912	2284	217
913	2286	215
914	2290	212
915	2292	210
916	2294	207
917	2297	205
918	2299	202
919	2301	200
920	2303	197
921	2305	195
922	2308	192
923	2310	190
924	2313	187
925	2316	185
926	2318	182
927	2320	180
928	2322	177
929	2325	175
930	2327	172
931	2329	169
932	2331	167
933	2334	164
934	2337	162
935	2340	160
936	2342	157
937	2344	154
938	2346	152
939	2349	149
940	2351	147
941	2353	144
942	2355	142
943	2358	139
944	2360	137
945	2364	134
946	2367	132
947	2369	129
948	2371	127
949	2373	124
950	2376	122
951	2378	119
952	2380	117
953	2383	114
954	2386	112
955	2388	109
956	2391	107
957	2393	104
958	2395	102
959	2398	99
960	2400	97
961	2402	94
962	2404	92
963	2406	89
964	2410	87
965	2412	84
966	2415	82
967	2417	79
968	2419	77
969	2421	74
970	2424	72
971	2426	69
972	2428	67
973	2430	64
974	2434	62
975	2436	59
976	2438	57
977	2441	54
978	2443	52
979	2445	49
980	2447	47
981	2450	44
982	2452	42
983	2454	39
984	2457	37
985	2461	34
986	2464	32
987	2466	29
988	2468	27
989	2470	24
990	2472	22
991	2475	19
992	2477	17
993	2480	14
994	2482	12
995	2484	9
996	2487	7
997	2489	4
998	2491	2
999	2494	0
